Sale Date;Number of Items;Ship State;Ship Country;Currency;Order Value;Coupon Code;Coupon Details;Shipping;Order Total;Order Net
12/29/19;1;MT;United States;USD;35.00;;;3.00;38.00;31.53
12/28/19;1;NSW;Australia;USD;43.00;;;3.00;50.60;38.07
12/27/19;1;ME;United States;USD;35.00;FORSALE;% off;3.00;32.54;25.59
12/22/19;1;iceland;Iceland;USD;57.00;;;3.00;60.00;50.40
12/20/19;1;FL;United States;USD;37.00;FORSALE;% off;0.00;29.60;24.72
12/19/19;2;FL;United States;USD;108.00;FORSALE;% off;3.00;102.40;85.86
12/17/19;1;MN;United States;USD;57.00;;;3.00;64.13;49.97
12/17/19;1;PA;United States;USD;49.00;;;3.00;55.12;43.22
12/17/19;1;CT;United States;USD;35.00;;;3.00;40.41;31.46
12/16/19;1;CA;United States;USD;51.00;;;3.00;57.96;44.95
12/16/19;1;;France;USD;57.00;FORSALE;% off;0.00;45.60;38.02
12/14/19;1;TX;United States;USD;35.00;;;3.00;41.14;31.58
12/14/19;1;NY;United States;USD;43.00;;;3.00;50.09;38.27
12/13/19;1;NJ;United States;USD;43.00;;;3.00;49.05;38.32
12/13/19;1;KY;United States;USD;47.00;;;0.00;49.82;39.18
12/13/19;1;NC;United States;USD;43.00;;;3.00;46.00;38.37
12.12.2019;1;;The Netherlands;USD;43.00;;;3.00;46.00;38.45
12.12.2019;1;NORTH YORKSHIRE;United Kingdom;USD;49.00;;;3.00;52.00;43.50
12.12.2019;1;KS;United States;USD;35.00;FORSALE;% off;3.00;31.00;25.80
12.12.2019;1;FL;United States;USD;43.00;;;3.00;46.00;38.37
12.12.2019;1;;Germany;USD;35.00;FORSALE;% off;3.00;31.00;25.74
12.11.2019;1;VA;United States;USD;35.00;;;3.00;40.11;31.56
12.11.2019;1;MI;United States;USD;35.00;;;3.00;38.00;31.65
12.11.2019;1;FL;United States;USD;49.00;;;3.00;52.00;43.40
12.11.2019;1;Berkshire;United Kingdom;USD;49.00;;;3.00;52.00;43.58
12.11.2019;1;CT;United States;USD;35.00;;;3.00;40.41;31.71
12.08.2019;1;NJ;United States;USD;49.00;10PERCENTS;% off;3.00;50.22;39.46
12.08.2019;1;TX;United States;USD;35.00;;;3.00;41.14;31.75
12.08.2019;1;MO;United States;USD;43.00;;;3.00;46.00;38.64
12.08.2019;1;Ticino;Switzerland;USD;35.00;;;3.00;38.00;31.86
12.08.2019;1;CA;United States;USD;35.00;;;3.00;41.33;31.74
12.08.2019;1;;France;USD;43.00;;;3.00;46.00;38.64
12.07.2019;1;North yorkshire;United Kingdom;USD;43.00;;;3.00;46.00;38.64
12.07.2019;1;CA;United States;USD;43.00;FORSALE;% off;3.00;39.89;31.26
12.07.2019;1;WI;United States;USD;35.00;;;3.00;40.10;31.79
12.07.2019;1;;United Kingdom;USD;49.00;;;3.00;52.00;43.72
12.06.2019;1;;Germany;USD;43.00;;;3.00;46.00;38.63
12.06.2019;1;MI;United States;USD;43.00;;;3.00;46.00;38.66
12.06.2019;1;PA;United States;USD;37.00;FORSALE;% off;0.00;31.38;24.70
12.06.2019;1;;France;USD;35.00;;;3.00;38.00;31.76
12.03.2019;1;NC;United States;USD;35.00;DIFERENTMAPFLOWERS;% off;0.00;35.50;29.68
12.03.2019;1;NC;United States;USD;35.00;DIFERENTMAPFLOWERS;% off;3.00;34.50;28.84
12.03.2019;1;IL;United States;USD;49.00;;;0.00;49.00;41.10
12.02.2019;1;CA;United States;USD;35.00;;;0.00;38.07;29.17
12.02.2019;1;MD;United States;USD;49.00;;;0.00;51.94;41.02
12.02.2019;1;AL;United States;USD;65.00;;;0.00;74.52;57.80
12.01.2019;1;NJ;United States;USD;43.00;;;0.00;50.12;39.50
12.01.2019;1;IL;United States;USD;49.00;DIFERENTMAPFLOWERS;% off;0.00;44.10;37.16
