Sale Date;Number of Items;Ship State;Ship Country;Currency;Order Value;Coupon Code;Coupon Details;Shipping;Order Total;Order Net
12/13/18;1;MO;United States;USD;47.00;10OFF;% off;0.00;42.30;34.60
12/13/18;1;QC;Canada;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.marts
12.12.2018;1;MO;United States;USD;47.00;10OFF;% off;0.00;42.30;34.52
12.12.2018;1;CA;United States;USD;57.00;10OFF;% off;0.00;51.30;41.94
12.12.2018;1;TX;United States;USD;37.00;10OFF;% off;0.00;33.30;27.okt
12.12.2018;1;IA;United States;USD;37.00;10OFF;% off;0.00;33.30;27.13
12.12.2018;1;IL;United States;USD;47.00;10OFF;% off;0.00;42.30;34.56
12.12.2018;1;MS;United States;USD;57.00;10OFF;% off;0.00;51.30;42.04
12.12.2018;1;AK;United States;USD;47.00;10OFF;% off;0.00;42.30;34.66
12.11.2018;1;KS;United States;USD;47.00;10OFF;% off;0.00;42.30;34.65
12.11.2018;1;CA;United States;USD;37.00;10OFF;% off;0.00;33.30;27.23
12.11.2018;1;MA;United States;USD;37.00;10OFF;% off;0.00;33.30;27.nov
12.09.2018;1;;United Kingdom;USD;47.00;10OFFWEEKEND;% off;0.00;42.30;42.30
12.09.2018;1;MN;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;27.74;20.93
12.09.2018;1;;The Netherlands;USD;37.00;10OFFWEEKEND;% off;0.00;33.30;27.aug
12.08.2018;1;MD;United States;USD;37.00;10OFFWEEKEND;% off;0.00;33.30;27.aug
12.08.2018;1;FL;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.75
12.08.2018;1;MO;United States;USD;37.00;10OFFWEEKEND;% off;0.00;33.30;33.30
12.08.2018;1;;Poland;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.75
12.08.2018;1;;Poland;USD;37.00;10OFF;% off;0.00;33.30;27.aug
12.07.2018;1;UT;United States;USD;37.00;10OFFWEEKEND;% off;0.00;33.30;26.98
12.07.2018;1;NC;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.79
12.07.2018;1;CA;United States;USD;37.00;;;0.00;37.00;37.00
12.06.2018;1;MA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.janv
12.06.2018;1;CA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.janv
12.06.2018;1;OH;United States;USD;37.00;;;0.00;37.00;30.14
12.06.2018;1;MA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.00
12.06.2018;1;MI;United States;USD;37.00;10OFF;% off;0.00;33.30;27.nov
12.06.2018;1;SC;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.74
12.06.2018;1;IL;United States;USD;47.00;;;0.00;47.00;38.38
12.06.2018;1;AZ;United States;USD;47.00;15OFF;% off;0.00;39.95;39.95
12.05.2018;1;FL;United States;USD;47.00;;;0.00;47.00;38.46
12.05.2018;1;NC;United States;USD;47.00;;;0.00;47.00;38.46
12.05.2018;1;WY;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.j?l
12.05.2018;1;QC;Canada;USD;25.00;;;0.00;25.00;20.31
12.05.2018;1;FL;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.j?n
12.04.2018;1;IN;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.sept
12.04.2018;1;TX;United States;USD;37.00;10OFF;% off;0.00;33.30;33.30
12.04.2018;1;MA;United States;USD;47.00;10OFF;% off;0.00;42.30;34.62
12.04.2018;2;QC;Canada;USD;74.00;"10OFF;ONSALE30PERCENTSOFF";"% off;% off";0.00;59.20;48.54
12.03.2018;1;GA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.maijs
12.03.2018;1;CO;United States;USD;47.00;10OFF;% off;0.00;42.30;34.58
12.03.2018;1;TX;United States;USD;47.00;;;0.00;47.00;38.55
12.02.2018;1;NY;United States;USD;37.00;10OFF;% off;0.00;33.30;27.17
12.02.2018;1;IN;United States;USD;47.00;10OFF;% off;0.00;42.30;34.59
12.02.2018;1;PA;United States;USD;47.00;;;0.00;49.82;38.40
12.02.2018;1;FL;United States;USD;37.00;10OFF;% off;0.00;33.30;27.18
12.02.2018;1;IL;United States;USD;47.00;10OFF;% off;0.00;42.30;34.61
12.02.2018;1;Cheshire;United Kingdom;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.maijs
12.02.2018;1;FL;United States;USD;37.00;10OFF;% off;0.00;33.30;27.24
12.02.2018;1;VA;United States;USD;57.00;10OFF;% off;0.00;51.30;42.12
12.02.2018;1;FL;United States;USD;47.00;;;0.00;47.00;38.57
12.02.2018;1;VA;United States;USD;37.00;10OFF;% off;0.00;33.30;27.24
12.02.2018;1;CA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.dec
12.01.2018;1;PA;United States;USD;10.00;;;0.00;10.60;j?l.94
12.01.2018;1;PA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;27.45;21.j?n
12.01.2018;1;;United Kingdom;USD;37.00;10OFF;% off;0.00;33.30;27.24
