Sale Date;Number of Items;Ship State;Ship Country;Currency;Order Value;Coupon Code;Coupon Details;Shipping;Order Total;Order Net
12/28/18;1;LA;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;25.90
12/28/18;1;MADRID;Spain;USD;57.00;;;0.00;57.00;57.00
12/27/18;1;;Germany;USD;37.00;MAPSFLOWERS10OFF;% off;0.00;33.30;33.30
12/26/18;1;CA;United States;USD;37.00;;;0.00;37.00;37.00
12/25/18;1;NJ;United States;USD;37.00;MAPSFLOWERS10OFF;% off;0.00;33.30;27.01
12/25/18;1;PR;United States;USD;57.00;MAPSFLOWERS10OFF;% off;0.00;51.30;51.30
12/20/18;1;CT;United States;USD;37.00;;;0.00;37.00;29.94
12/20/18;1;VT;United States;USD;37.00;;;0.00;37.00;37.00
12/19/18;1;NY;United States;USD;37.00;10FORANIMALS;% off;0.00;33.30;27.04
12/18/18;1;OH;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.75
12/18/18;1;WA;United States;USD;47.00;;;0.00;50.86;38.28
12/18/18;1;;France;USD;37.00;10FORANIMALS;% off;0.00;33.30;27.12
12/17/18;1;NC;United States;USD;37.00;;;0.00;37.00;30.20
12/16/18;1;NY;United States;USD;57.00;;;0.00;57.00;57.00
12/16/18;1;NY;United States;USD;47.00;;;0.00;47.00;38.62
12/16/18;1;CT;United States;USD;37.00;10OFF;% off;0.00;33.30;27.26
12/16/18;1;CA;United States;USD;37.00;10OFF;% off;0.00;33.30;27.26
12/14/18;1;AL;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;32.90
12/14/18;1;NC;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;27.01
12/13/18;1;WY;United States;USD;37.00;;;0.00;37.00;37.00
12/13/18;1;AZ;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.apr
12/13/18;1;NC;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.marts
12/13/18;1;NC;United States;USD;47.00;ONSALE30PERCENTSOFF;% off;0.00;32.90;26.80
12/13/18;1;MI;United States;USD;37.00;ONSALE30PERCENTSOFF;% off;0.00;25.90;21.marts
