Sale Date;Number of Items;Ship State;Ship Country;Currency;Order Value;Coupon Code;Coupon Details;Shipping;Order Total;Order Net
12/31/20;1;NSW;Australia;USD;53.04;;;5.00;63.84;43.99
12/30/20;1;NC;United States;USD;51.00;;;0.00;54.83;38.37
12/29/20;1;ATTIKI;Greece;USD;43.03;INTEPRO15;% off;5.00;41.58;31.49
12/25/20;2;IL;United States;USD;58.00;;;0.00;63.95;44.03
12/25/20;1;UT;United States;USD;39.00;10PERCENTS;% off;0.00;37.71;26.56
12/25/20;1;;Switzerland;USD;54.05;;;5.00;59.05;45.06
12/25/20;1;TX;United States;USD;54.00;;;0.00;58.46;41.01
12/23/20;1;FL;United States;USD;39.00;;;0.00;39.00;29.67
12/22/20;1;NY;United States;USD;47.00;;;0.00;55.08;38.78
12/20/20;1;;Germany;USD;39.08;;;5.00;44.08;33.49
12/20/20;1;Lancashire;United Kingdom;USD;41.00;;;5.00;46.00;34.83
12/18/20;1;SC;United States;USD;39.00;FORSALE;% off;5.00;39.09;27.30
12/16/20;1;;The Netherlands;USD;39.00;;;5.00;44.00;33.53
12/16/20;1;BC;Canada;USD;39.00;;;5.00;44.00;33.53
12/16/20;1;DE;United States;USD;53.00;;;25.00;82.00;62.68
12/14/20;1;NC;United States;USD;53.00;;;0.00;56.58;40.42
12/13/20;1;;Latvia;USD;9.00;;;5.00;14.00;okt.52
12.12.2020;1;VA;United States;USD;39.00;MAPSDESIGNS;% off;0.00;37.21;26.75
12.12.2020;1;GA;United States;USD;39.00;;;25.00;68.48;49.01
12.11.2020;1;;Germany;USD;54.00;;;25.00;79.00;60.73
12.11.2020;1;CA;United States;USD;54.00;;;25.00;84.54;60.55
12.10.2020;1;Oxfordshire;United Kingdom;USD;35.00;;;5.00;40.00;30.60
12.10.2020;1;SC;United States;USD;39.00;;;0.00;41.73;29.78
12.09.2020;1;Roma;Italy;USD;43.00;;;25.00;68.00;52.17
12.08.2020;1;Tamra;Israel;USD;47.00;;;25.00;72.00;55.36
12.08.2020;1;IL;United States;USD;54.00;;;0.00;59.55;41.28
12.08.2020;1;Hampshire;United Kingdom;USD;35.00;;;5.00;40.00;30.58
12.07.2020;1;CO;United States;USD;55.00;;;0.00;56.60;42.17
12.07.2020;1;TX;United States;USD;19.00;;;5.00;25.92;18.19
12.07.2020;1;CA;United States;USD;38.00;;;0.00;41.43;28.97
12.06.2020;1;QLD;Australia;USD;38.05;;;5.00;47.36;32.77
12.06.2020;1;UT;United States;USD;39.00;DIFFERENT;% off;5.00;40.56;29.aug
12.06.2020;1;CA;United States;USD;39.00;DIFFERENT;% off;5.00;40.72;29.aug
12.06.2020;1;NE;United States;USD;39.00;DIFFERENT;% off;5.00;40.92;29.j?l
12.06.2020;1;TX;United States;USD;39.00;ANIMALFLOWERS;% off;0.00;37.90;26.71
12.06.2020;1;Wiltshire;United Kingdom;USD;47.12;DIFFERENT;% off;5.00;45.05;34.48
12.06.2020;1;NJ;United States;USD;35.00;ANIMALFLOWERS;% off;5.00;38.92;27.80
12.06.2020;1;AK;United States;USD;19.00;ANIMALFLOWERS;% off;5.00;22.10;16.76
12.05.2020;1;GA;United States;USD;39.00;;;5.00;47.08;33.57
12.03.2020;1;NY;United States;USD;43.00;ANIMALFLOWERS;% off;5.00;47.26;33.28
12.02.2020;1;NJ;United States;USD;43.00;ANIMALFLOWERS;% off;5.00;46.59;33.37
12.02.2020;1;SC;United States;USD;51.00;;;5.00;59.92;42.84
12.02.2020;1;PA;United States;USD;35.00;ANIMALFLOWERS;% off;5.00;38.69;27.83
12.02.2020;1;Bedfordshire;United Kingdom;USD;43.12;ANIMALFLOWERS;% off;20.00;62.81;48.23
12.02.2020;1;MD;United States;USD;35.00;ANIMALFLOWERS;% off;5.00;38.39;27.83
12.02.2020;1;NC;United States;USD;37.00;;;5.00;44.94;32.09
12.02.2020;1;MI;United States;USD;35.00;ANIMALFLOWERS;% off;5.00;38.69;27.87
12.02.2020;1;MA;United States;USD;35.00;ANIMALFLOWERS;% off;20.00;53.47;39.58
12.02.2020;1;MN;United States;USD;47.00;ANIMALFLOWERS;% off;5.00;50.55;36.31
12.01.2020;1;NJ;United States;USD;51.00;;;5.00;59.71;43.02
